Node	Degree	Betweenness	Eigenvector	Closeness	Eccentricity	PageRank	Clustering
https://health.universityofcalifornia.edu/	176	17397.19347419252	0.11154972201197635	0.5382597289024923	3	0.00865027762901411	0.4727922077922078
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health	168	7470.7703861697255	0.11147334006108034	0.5363834422657952	3	0.007547185751791769	0.5189620758483033
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health	178	14574.103719503082	0.11164579662458518	0.5387308533916849	3	0.008582290780435367	0.46264203643750396
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-san-diego-health	176	12281.387540320507	0.1116409843318494	0.5382597289024923	3	0.00830925401353746	0.4733766233766234
https://health.universityofcalifornia.edu/patient-care/cardiac-surgery-consortium	194	36430.06212213848	0.1117890163053115	0.5425297487880123	3	0.011009639308222557	0.3894022755194701
https://health.universityofcalifornia.edu/patient-care/milk-bank	165	5672.770386169728	0.11141596424009267	0.5356832027850305	3	0.007286482381274476	0.5378418329637842
https://health.universityofcalifornia.edu/news/university-california-health-supports-cdc-recommendation-covid-19-vaccine-children	61	6140.437086092719	0.05606637376945068	0.44569152787834904	3	0.003153003231165939	0.805464480874317
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uci-health	172	8886.31650810325	0.11160723351726119	0.5373199476211261	3	0.007814886116045546	0.49578403372773017
https://health.universityofcalifornia.edu/contact-us	180	19703.162962525814	0.11170462934160509	0.5392028033289531	3	0.009002570480750021	0.45313469894475483
https://health.universityofcalifornia.edu/sites/default/files/styles/868x488_16_9_/public/2021-06/ucsd_surge_tent_750.jpg?h=9e499333&itok=t-oZ21rk	1	0.0	0.0010368360856940048	0.3500142166619278	4	0.0001635610221028941	0.0
https://health.universityofcalifornia.edu/dashboards/uch-chart-outpatient-visits	56	1230.4370860927152	0.055437808676594626	0.4431245500359971	3	0.0025457039690193893	0.9214285714285714
https://health.universityofcalifornia.edu/research	168	6673.10371950305	0.11149236883610898	0.5363834422657952	3	0.007472611667821191	0.5191046478471628
https://health.universityofcalifornia.edu/news/university-california-health-signs-health-equity-pledge-leverage-data-addressing-disparities	65	10205.741789569061	0.05609552263539108	0.4469862018881627	3	0.003684801889790192	0.7086538461538462
https://health.universityofcalifornia.edu/patient-care	174	16063.270386169766	0.11151144394297058	0.5377894276976846	3	0.008489445275415971	0.4835559099063185
https://health.universityofcalifornia.edu/news/new-study-shows-uc-system-mitigation-efforts-reduced-campus-covid-19-infection-rates-0	68	13476.746177001805	0.056615902049594595	0.44894237782640406	3	0.004115177359606505	0.6707638279192274
https://health.universityofcalifornia.edu/news	181	20080.667724430034	0.11174029138273088	0.5394390885188431	3	0.008878194260686348	0.44868017188459175
https://health.universityofcalifornia.edu/education/dentistry	178	20321.770386169752	0.1115592271568932	0.5387308533916849	3	0.009009499079217461	0.46207071668888466
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucsf-health	179	15407.094195693451	0.11167457817086776	0.5389667250437828	3	0.008680483268223817	0.45766116376875277
https://health.universityofcalifornia.edu/education/public-health	182	25020.99895759833	0.11159758154901163	0.5396755808855765	3	0.009556692426442429	0.4419889502762431
https://health.universityofcalifornia.edu/about-us/administration-leadership	234	87989.77038616953	0.11207809926246705	0.5522655899506506	3	0.018385533681791407	0.26693811672352447
https://health.universityofcalifornia.edu/education/medicine	208	51055.946075392916	0.11194314955300176	0.5458980044345898	3	0.012966241578307327	0.33881456707543667
https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-04/UC-Davis-Health-Pediatrics-1.JPG?h=f7a79ff7&itok=Su58dHBU	1	0.0	0.001036836085694008	0.3500142166619278	4	0.0001635610221028941	0.0
https://health.universityofcalifornia.edu/about-us	164	4444.770386169738	0.11140642558924511	0.535450195737277	3	0.007150773853114487	0.5444411192578184
https://health.universityofcalifornia.edu/research/clinical-trials	168	6752.95514807441	0.11149245326629355	0.5363834422657952	3	0.0074684459868302605	0.5191759338465926
https://health.universityofcalifornia.edu/news/system	78	4519.713073435855	0.06369784534665787	0.470565749235474	3	0.0037753330008535786	0.755910755910756
https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-06/UCLA_Mattel_Childrens_Hospital_with_Superhero_Window_Cleaners%20%28002%29.jpg?h=252f27fa&itok=NEzoFu_L	1	0.0	0.001036836085694009	0.3500142166619278	4	0.0001635610221028941	0.0
https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-06/UCI-trainees-20-health-prof-schools.jpg?h=2992ba0a&itok=n8DcUryz	1	0.0	0.001036836085694008	0.3500142166619278	4	0.0001635610221028941	0.0
https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-04/UniversityCalHealthPediatrics.jpg?h=10d202d3&itok=9ds0LmcB	2	0.0	0.0020733163831124337	0.35121255349500713	4	0.00020506387819270536	1.0
https://health.universityofcalifornia.edu/education	174	15326.395855145007	0.11152575865329939	0.5377894276976846	3	0.008418212894489756	0.4836887914424291
https://health.universityofcalifornia.edu/about-us/diversity-equity-and-inclusion-health-sciences	171	12402.770386169748	0.11148278717541385	0.537085514834206	3	0.008063972959366457	0.5007223942208462
https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-04/UC-Davis-Cancer-Center-Expansion-8.jpg?h=10d202d3&itok=jFkCea1P	1	0.0	0.0010368360856940063	0.3500142166619278	4	0.0001635610221028941	0.0
