Node	Degree	Betweenness	Eigenvector	Closeness	Eccentricity	PageRank	Clustering
https://www.keckmedicine.org/	657	24234.606375474057	0.09609270122579021	0.5978659553184394	3	0.004895113263629126	0.18245814307458144
https://www.keckmedicine.org/parking/parking-at-keck-hospital-of-usc/	614	16406.35526982277	0.09235130868407133	0.5834689228766677	3	0.004159127866322376	0.19749084706494996
https://www.keckmedicine.org/wp-content/uploads/2022/01/covid-19-vaccine-graphic.jpg	1	0.0	0.0004295757616992646	0.37424337299102484	4	8.993224690818959e-05	0.0
https://www.keckmedicine.org/career-opportunities-at-usc/	617	34230.832039539346	0.091928205753766	0.5846103684382132	3	0.0051411368407756055	0.19055336883537857
https://www.keckmedicine.org/blog/	619	13375.737763040523	0.09274968975333638	0.5915539425932036	4	0.00405123275348654	0.2078516868735982
https://www.keckmedicine.org/international-health/become-a-patient/	616	8717.044433813959	0.09249701872532572	0.5815763866363931	3	0.004103093798132489	0.19302607961144547
https://www.keckmedicine.org/wp-content/uploads/2022/01/us-new-badge-2021.png	1	0.0	0.0004295757616992599	0.37424337299102484	4	8.993224690818959e-05	0.0
https://www.keckmedicine.org/locations/1441-eastlake-ave-los-angeles	729	19951.536484622113	0.09185652339270789	0.627142357467646	3	0.005132044444321063	0.1026696211881397
https://www.keckmedicine.org/locations/1500-san-pablo-st-los-angeles	729	19951.536484622113	0.0918565233927079	0.627142357467646	3	0.005132044444321063	0.1026696211881397
https://www.keckmedicine.org/category/our-stories	157	828.6360305581521	0.02231300536113593	0.43614692288980783	4	0.0010892141056394098	0.09970602645761882
https://www.keckmedicine.org/billing-and-insurance/	631	11982.870476104317	0.09418852883553891	0.592531394580304	3	0.0042821172484781836	0.18849898120896535
https://www.keckmedicine.org/blog/prose-grateful-patient/	692	22735.18926000894	0.09971641680654862	0.6138308798356727	3	0.00466164954693334	0.18856813029621142
https://www.keckmedicine.org/wp-content/themes/understrap-child/images/logos/1-Line_KeckMedicineOfUSC_CardOnTrans.png	617	8498.664261899814	0.08541135065755937	0.5849918433931485	4	0.004098337704914877	0.12151908059525564
https://www.keckmedicine.org/refer-a-patient/	628	14997.537801432007	0.09328005737014361	0.5870988867059594	3	0.004329569847860486	0.18783713771980617
https://www.keckmedicine.org/wp-content/themes/understrap-child/images/logos/1-Line_KeckMedicineOfUSC_CardOnWhite.jpg	617	8498.664261899814	0.08541135065755939	0.5849918433931485	4	0.004098337704914877	0.12151908059525564
https://www.keckmedicine.org/wp-content/uploads/2022/01/LGBTQ-badge-2021.png	1	0.0	0.00042957576169926325	0.37424337299102484	4	8.993224690818959e-05	0.0
https://www.keckmedicine.org/quality-transparency/records/	611	13659.002664163463	0.0926366111987188	0.5836588541666666	3	0.004212103714969638	0.2
https://www.keckmedicine.org/about/	610	15274.98402163418	0.09205165814984285	0.5849918433931485	3	0.004246935443866887	0.1952407871005949
https://www.keckmedicine.org/financial-assistance-program/	639	24658.143256700834	0.09423639737899735	0.5939052666445843	3	0.004831843344372516	0.18375106087587875
https://www.keckmedicine.org/leadership-team/	619	28527.20033861781	0.09200161402811599	0.5857562887945116	3	0.004603140276335372	0.18954781435763915
https://www.keckmedicine.org/locations/1812-verdugo-blvd-glendale	729	19951.536484622113	0.09185652339270789	0.627142357467646	3	0.005132044444321063	0.1026696211881397
https://www.keckmedicine.org/interpreter-services/	588	7606.884986297252	0.09071604843494044	0.5759717314487632	3	0.003900797694544547	0.20951685614620635
https://www.keckmedicine.org/non-discrimination/	584	9892.139249396481	0.08945939622241214	0.5715651896716608	4	0.003943144967822232	0.20408726708804248
https://www.keckmedicine.org/privacy-policy/	582	8294.374605714425	0.08961301728209382	0.5719298245614035	3	0.0038695817367509757	0.20641623933140515
https://www.keckmedicine.org/wp-content/uploads/2022/01/leapfrog-badge-2021.png	1	0.0	0.00042957576169926206	0.37424337299102484	4	8.993224690818959e-05	0.0
https://www.keckmedicine.org/request-an-appointment/	661	12847.73264289283	0.09607396674990325	0.5996655518394649	3	0.004406496870729243	0.1766240315408243
https://www.keckmedicine.org/conditions/glaucoma/	660	25111.015403408164	0.09587321443520713	0.5984646194926568	3	0.004508833906364248	0.17978571757023956
https://www.keckmedicine.org/volunteer/	588	11364.978355479978	0.09006396707677987	0.5759717314487632	3	0.004008839312336449	0.2037049913662228
https://www.keckmedicine.org/locations/	397	5241.611231413903	0.06585679302680436	0.5290646208321038	3	0.0026767711893141014	0.2802203394142941
https://www.keckmedicine.org/hospital-pricing-information/	612	14519.761788991991	0.092703152580767	0.583848909150114	3	0.004242394540350492	0.19947477081394477
https://www.keckmedicine.org/international-health/lodging/	647	66143.3273490045	0.09169473946007675	0.5898026315789474	3	0.006101057983903079	0.17275733200625895
https://www.keckmedicine.org/quality-safety-and-ethics/	616	11483.670031069556	0.09241408942945954	0.5815763866363931	3	0.004204987407701269	0.19276739520641958
https://www.keckmedicine.org/locations	617	8498.664261899814	0.08541135065755938	0.5849918433931485	4	0.004098337704914877	0.12151908059525564
https://www.keckmedicine.org/quality-transparency/	626	32172.288206279474	0.09272654400430323	0.5865227347072293	3	0.0048587700190186696	0.1906964856230032
https://www.keckmedicine.org/wp-content/uploads/2022/01/vaccine-prep-img.jpg	1	0.0	0.0004295757616992644	0.37424337299102484	4	8.993224690818959e-05	0.0
https://www.keckmedicine.org/conditions-and-treatments	617	8498.664261899814	0.08541135065755938	0.5849918433931485	4	0.004098337704914877	0.12151908059525564
