Node	Degree	Betweenness	Eigenvector	Closeness	Eccentricity	PageRank	Clustering
https://www.dukehealth.org/	833	34299.31315535405	0.12360227535257806	0.7121752419765665	2	0.010029342180754016	0.0995821405485271
https://www.dukehealth.org/adult-treatments	139	234.25384609942347	0.03486659604314623	0.4521345407503234	3	0.0015336133729488392	0.48660202272964237
https://www.dukehealth.org/sites/default/files/styles/blog_thumbnail_image_crop/public/blog_post/blog_artificial_heart_1932x862_1.jpg?h=055763a9&itok=L45owJGO	1	0.0	0.0006474997943488621	0.4160714285714286	3	0.00011746943783987222	0.0
https://www.dukehealth.org/covid-19-update/covid-19-vaccine-update	835	34003.586469964386	0.12364037575222356	0.7129015808261091	2	0.009804308433651574	0.099165697382214
https://www.dukehealth.org/VisitorRestrictions	826	25361.402728319907	0.12357861266026096	0.7096446700507614	2	0.009243429370324165	0.10126348228043143
https://www.dukehealth.org/blog	411	8052.500215800347	0.07274903306068856	0.5416505230530801	3	0.004750522213157526	0.20988665361106165
https://www.dukehealth.org/covid-19-update/covid-19-testing	827	24774.16268322034	0.12359832524012827	0.7100050787201625	2	0.009289107425370115	0.10105372257730177
https://www.dukehealth.org/events/strong-and-limber-virtual-event-1641568500-1641570900	36	1397.1124845488303	0.021569793557896025	0.429097605893186	3	0.000545526691485117	0.8
https://www.dukehealth.org/spanish-covid-19-update/walk-in-vaccine-clinic	823	21861.397422238213	0.12354857190327519	0.7085656360871769	2	0.009144864235534381	0.10195031529653839
https://www.dukehealth.org/spanish-covid-19-update/covid-19-testing	826	25338.77882378899	0.12356138214635821	0.7096446700507614	2	0.009359373130260962	0.10121065375302664
https://www.dukehealth.org/sites/default/files/styles/announcement_images/public/blog_post/flu_blog_banner_1400_ctr.jpg?itok=PQaW7Jon	1	0.0	0.0006474997943488615	0.4160714285714286	3	0.00011746943783987222	0.0
https://www.dukehealth.org/about-duke-health	829	30254.977494135277	0.12356689289500439	0.7107269954245043	2	0.009761876485121706	0.10047027149875003
https://www.dukehealth.org/spanish-covid-19-update	832	31875.49936569535	0.1235972486997176	0.7118126272912424	2	0.009618313419236359	0.09980155975192076
https://www.dukehealth.org/spanish-covid-19-update/spanish-schedule-vaccine-step-one	822	21216.828731395537	0.1235392520081093	0.7082066869300911	2	0.009120641546574654	0.10218385388420151
https://www.dukehealth.org/dukechildrens	832	34199.903422250696	0.12362784206707603	0.7118126272912424	2	0.009750500607338106	0.09998380079607516
https://www.dukehealth.org/blog/spanish-why-you-need-flu-shot	56	2818.930978417477	0.02421313546889867	0.4370115661144108	3	0.0008755450898643612	0.7681818181818182
https://www.dukehealth.org/locations?view=list	36	0.2021438203887623	0.021676418916837595	0.42962507682851875	3	0.0004578784237984224	0.8539682539682539
https://www.dukehealth.org/spanish-visitor-restrictions	822	21216.828731395537	0.12353925200810924	0.7082066869300911	2	0.009120641546574654	0.10218385388420151
https://www.dukehealth.org/keep-date-duke-health	823	22613.828731395544	0.12354262467940397	0.7085656360871769	2	0.009219773033687373	0.10193553346163967
https://www.dukehealth.org/blog/assess-your-well-being-wheel-of-health	136	2930.99516630085	0.033938852809854404	0.4457908163265306	3	0.0016938963654088526	0.4582788671023965
https://www.dukehealth.org/covid-19-update/walk-in-vaccine-clinic	824	22142.687230626954	0.12357080215540271	0.7089249492900609	2	0.009164685739372815	0.1017382533709257
https://www.dukehealth.org/diversity-equity-and-inclusion/Duke-health-stands-against-racism	823	22613.828731395544	0.12354262467940397	0.7085656360871769	2	0.009219773033687373	0.10193553346163967
https://www.dukehealth.org/sites/default/files/styles/blog_thumbnail_image_crop/public/blog_post/blog_lung_valve_1932x862_0.jpg?h=f73e4ffe&itok=-Ya82Lce	1	0.0	0.0006474997943488608	0.4160714285714286	3	0.00011746943783987222	0.0
https://www.dukehealth.org/privacy/website-privacy-policy	829	29385.239617083644	0.12372099498844374	0.7107269954245043	2	0.00960917585435029	0.10116081886680303
https://www.dukehealth.org/sites/default/files/styles/blog_thumbnail_image_crop/public/blog_post/blog_guillain_barre_1932x862_1.jpg?h=4b99f3f8&itok=j6L4_HAA	1	0.0	0.0006474997943488544	0.4160714285714286	3	0.00011746943783987222	0.0
https://www.dukehealth.org/blog/new-minimally-invasive-lung-valve-procedure-helps-copd-patient-breathe-easier	116	1491.5438186418917	0.03166150313965368	0.44324667089410275	3	0.001395789701066168	0.5268365817091454
https://www.dukehealth.org/status	810	22558.982603053857	0.11570459592529092	0.7039274924471299	2	0.009052027781442266	0.0731798135176792
https://www.dukehealth.org/covid-19-update/schedule-vaccine-step-one	823	21496.97568264139	0.1235614822602368	0.7085656360871769	2	0.009140463023108773	0.10197100986539662
https://www.dukehealth.org/events	40	1.9898931069030101	0.022201803526605293	0.43161469589379436	3	0.0005035740295642222	0.8641025641025641
https://www.dukehealth.org/events/strong-and-limber-1641564900-1641567300	38	2790.6124845488343	0.021572161613595965	0.42962507682851875	3	0.000663587289235614	0.716927453769559
https://www.dukehealth.org/sites/default/files/styles/blog_thumbnail_image_crop/public/blog_post/blog_wheel_health_1932x862_0.jpg?h=411ea498&itok=0EsnSEsV	1	0.0	0.000647499794348849	0.4160714285714286	3	0.00011746943783987222	0.0
https://www.dukehealth.org/blog/duke-surgeons-first-us-place-new-generation-artificial-heart	121	2347.295009543003	0.032694224868283536	0.45301360985093975	3	0.0015216392639187165	0.5012396694214876
https://www.dukehealth.org/find-doctors-physicians	48	13.875789261022591	0.02318890036950119	0.4322820037105751	3	0.0005841786857201984	0.775709219858156
