Source,Target
https://osumc.com/,https://www.okstatemychart.com/
https://osumc.com/,http://osumedicine.com/find-a-doctor
https://osumc.com/,http://osumedicine.com/locations
https://osumc.com/,https://osumedicine.com/resources/covid-19/
https://osumc.com/,http://osumedicine.com/find-a-doctor
https://osumc.com/,http://osumedicine.com/locations
https://osumc.com/,https://osumedicine.com/resources/covid-19/
https://osumc.com/,https://www.okstatemychart.com/
https://osumc.com/,http://osumedicine.com/find-a-doctor
https://osumc.com/,http://osumedicine.com/locations
https://osumc.com/,https://osumedicine.com/resources/covid-19/
https://osumc.com/,https://osumedicine.com/find-a-doctor/
https://osumc.com/,https://osumedicine.com/locations/
https://osumc.com/,https://osumedicine.com/resources/covid-19/
https://osumc.com/,https://medicine.okstate.edu/covid/covid-19-drive-through-testing.html
https://osumc.com/,"https://osumedicine.com/services/family-medicine/,https://osumedicine.com/services/cardiovascular-medicine/,https://osumedicine.com/services/ob-gyn/,https://osumedicine.com/services/internal-medicine/,https://osumedicine.com/services/surgery/"
https://osumc.com/,"https://osumedicine.com/services/family-medicine/,https://osumedicine.com/services/cardiovascular-medicine/,https://osumedicine.com/services/ob-gyn/,https://osumedicine.com/services/internal-medicine/,https://osumedicine.com/services/surgery/"
https://osumc.com/,"https://osumedicine.com/services/family-medicine/,https://osumedicine.com/services/cardiovascular-medicine/,https://osumedicine.com/services/ob-gyn/,https://osumedicine.com/services/internal-medicine/,https://osumedicine.com/services/surgery/"
https://osumc.com/,"https://osumedicine.com/services/family-medicine/,https://osumedicine.com/services/cardiovascular-medicine/,https://osumedicine.com/services/ob-gyn/,https://osumedicine.com/services/internal-medicine/,https://osumedicine.com/services/surgery/"
https://osumc.com/,"https://osumedicine.com/services/family-medicine/,https://osumedicine.com/services/cardiovascular-medicine/,https://osumedicine.com/services/ob-gyn/,https://osumedicine.com/services/internal-medicine/,https://osumedicine.com/services/surgery/"
https://osumc.com/,https://osumedicine.com/locations/
https://osumc.com/,https://osumedicine.com/
https://osumc.com/,https://medicine.okstate.edu/
https://osumc.com/,https://www.facebook.com/OSUMedicine
https://osumc.com/,https://www.youtube.com/channel/UCULLPLRjW5lJtqqRbx7ZOxw
https://osumc.com/resources/standard-hospital-charges/,https://www.okstatemychart.com/
https://osumc.com/resources/standard-hospital-charges/,http://osumedicine.com/find-a-doctor
https://osumc.com/resources/standard-hospital-charges/,http://osumedicine.com/locations
https://osumc.com/resources/standard-hospital-charges/,https://osumedicine.com/resources/covid-19/
https://osumc.com/resources/standard-hospital-charges/,http://osumedicine.com/find-a-doctor
https://osumc.com/resources/standard-hospital-charges/,http://osumedicine.com/locations
https://osumc.com/resources/standard-hospital-charges/,https://osumedicine.com/resources/covid-19/
https://osumc.com/resources/standard-hospital-charges/,https://www.okstatemychart.com/
https://osumc.com/resources/standard-hospital-charges/,http://osumedicine.com/find-a-doctor
https://osumc.com/resources/standard-hospital-charges/,http://osumedicine.com/locations
https://osumc.com/resources/standard-hospital-charges/,https://osumedicine.com/resources/covid-19/
https://osumc.com/resources/standard-hospital-charges/,https://osumedicine.com/find-a-doctor/
https://osumc.com/resources/standard-hospital-charges/,https://osumedicine.com/locations/
https://osumc.com/resources/standard-hospital-charges/,https://osumedicinemychart.com/MyChart/GuestEstimates/
https://osumc.com/resources/standard-hospital-charges/,https://osumedicine.com/locations/
https://osumc.com/resources/standard-hospital-charges/,https://osumedicine.com/
https://osumc.com/resources/standard-hospital-charges/,https://medicine.okstate.edu/
https://osumc.com/resources/standard-hospital-charges/,https://www.facebook.com/OSUMedicine
https://osumc.com/resources/standard-hospital-charges/,https://www.youtube.com/channel/UCULLPLRjW5lJtqqRbx7ZOxw
https://osumc.com/services/wound-care-and-hyperbaric-center/,https://www.okstatemychart.com/
https://osumc.com/services/wound-care-and-hyperbaric-center/,http://osumedicine.com/find-a-doctor
https://osumc.com/services/wound-care-and-hyperbaric-center/,http://osumedicine.com/locations
https://osumc.com/services/wound-care-and-hyperbaric-center/,https://osumedicine.com/resources/covid-19/
https://osumc.com/services/wound-care-and-hyperbaric-center/,http://osumedicine.com/find-a-doctor
https://osumc.com/services/wound-care-and-hyperbaric-center/,http://osumedicine.com/locations
https://osumc.com/services/wound-care-and-hyperbaric-center/,https://osumedicine.com/resources/covid-19/
https://osumc.com/services/wound-care-and-hyperbaric-center/,https://www.okstatemychart.com/
https://osumc.com/services/wound-care-and-hyperbaric-center/,http://osumedicine.com/find-a-doctor
https://osumc.com/services/wound-care-and-hyperbaric-center/,http://osumedicine.com/locations
https://osumc.com/services/wound-care-and-hyperbaric-center/,https://osumedicine.com/resources/covid-19/
https://osumc.com/services/wound-care-and-hyperbaric-center/,https://osumedicine.com/find-a-doctor/
https://osumc.com/services/wound-care-and-hyperbaric-center/,https://osumedicine.com/locations/
https://osumc.com/services/wound-care-and-hyperbaric-center/,https://osumedicine.com/services/wound-care/
https://osumc.com/services/wound-care-and-hyperbaric-center/,https://www.stryker.com/us/en/portfolios/medical-surgical-equipment/surgical-visualization.html
https://osumc.com/services/wound-care-and-hyperbaric-center/,https://osumedicine.com/locations/
https://osumc.com/services/wound-care-and-hyperbaric-center/,https://osumedicine.com/
https://osumc.com/services/wound-care-and-hyperbaric-center/,https://medicine.okstate.edu/
https://osumc.com/services/wound-care-and-hyperbaric-center/,https://www.facebook.com/OSUMedicine
https://osumc.com/services/wound-care-and-hyperbaric-center/,https://www.youtube.com/channel/UCULLPLRjW5lJtqqRbx7ZOxw
https://osumc.com/services/emergency-department/,https://www.okstatemychart.com/
https://osumc.com/services/emergency-department/,http://osumedicine.com/find-a-doctor
https://osumc.com/services/emergency-department/,http://osumedicine.com/locations
https://osumc.com/services/emergency-department/,https://osumedicine.com/resources/covid-19/
https://osumc.com/services/emergency-department/,http://osumedicine.com/find-a-doctor
https://osumc.com/services/emergency-department/,http://osumedicine.com/locations
https://osumc.com/services/emergency-department/,https://osumedicine.com/resources/covid-19/
https://osumc.com/services/emergency-department/,https://www.okstatemychart.com/
https://osumc.com/services/emergency-department/,http://osumedicine.com/find-a-doctor
https://osumc.com/services/emergency-department/,http://osumedicine.com/locations
https://osumc.com/services/emergency-department/,https://osumedicine.com/resources/covid-19/
https://osumc.com/services/emergency-department/,https://osumedicine.com/find-a-doctor/
https://osumc.com/services/emergency-department/,https://osumedicine.com/locations/
https://osumc.com/services/emergency-department/,https://osumedicine.com/locations/
https://osumc.com/services/emergency-department/,https://osumedicine.com/
