Source,Target
https://www.dukehealth.org/covid-19-update/covid-19-testing,http://www.facebook.com/dukemedicine
https://www.dukehealth.org/covid-19-update/covid-19-testing,http://twitter.com/DukeHealth
https://www.dukehealth.org/covid-19-update/covid-19-testing,http://youtube.com/user/Dukemedicine
https://www.dukehealth.org/covid-19-update/covid-19-testing,https://www.instagram.com/dukehealth
https://www.dukehealth.org/covid-19-update/covid-19-testing,https://www.linkedin.com/company/duke-university-health-system
https://www.dukehealth.org/covid-19-update/covid-19-testing,http://medschool.duke.edu/
https://www.dukehealth.org/covid-19-update/covid-19-testing,http://nursing.duke.edu/
https://www.dukehealth.org/covid-19-update/covid-19-testing,http://www.duke.edu/
https://www.dukehealth.org/covid-19-update/covid-19-testing,https://careers.duke.edu/
https://www.dukehealth.org/covid-19-update/covid-19-testing,https://giving.dukehealth.org/
https://www.dukehealth.org/covid-19-update/covid-19-testing,https://corporate.dukehealth.org/newsmedia
https://www.dukehealth.org/covid-19-update/covid-19-testing,https://physicians.dukehealth.org/
https://www.dukehealth.org/events/strong-and-limber-virtual-event-1641568500-1641570900,https://dukefitness.clubautomation.com/  
https://www.dukehealth.org/events/strong-and-limber-virtual-event-1641568500-1641570900,http://www.facebook.com/dukemedicine
https://www.dukehealth.org/events/strong-and-limber-virtual-event-1641568500-1641570900,http://twitter.com/DukeHealth
https://www.dukehealth.org/events/strong-and-limber-virtual-event-1641568500-1641570900,http://youtube.com/user/Dukemedicine
https://www.dukehealth.org/events/strong-and-limber-virtual-event-1641568500-1641570900,https://www.instagram.com/dukehealth
https://www.dukehealth.org/events/strong-and-limber-virtual-event-1641568500-1641570900,https://www.linkedin.com/company/duke-university-health-system
https://www.dukehealth.org/events/strong-and-limber-virtual-event-1641568500-1641570900,http://medschool.duke.edu/
https://www.dukehealth.org/events/strong-and-limber-virtual-event-1641568500-1641570900,http://nursing.duke.edu/
https://www.dukehealth.org/events/strong-and-limber-virtual-event-1641568500-1641570900,http://www.duke.edu/
https://www.dukehealth.org/events/strong-and-limber-virtual-event-1641568500-1641570900,https://careers.duke.edu/
https://www.dukehealth.org/events/strong-and-limber-virtual-event-1641568500-1641570900,https://giving.dukehealth.org/
https://www.dukehealth.org/events/strong-and-limber-virtual-event-1641568500-1641570900,https://corporate.dukehealth.org/newsmedia
https://www.dukehealth.org/events/strong-and-limber-virtual-event-1641568500-1641570900,https://physicians.dukehealth.org/
https://www.dukehealth.org/spanish-covid-19-update/walk-in-vaccine-clinic,https://goo.gl/maps/R83ZDmui22T2
https://www.dukehealth.org/spanish-covid-19-update/walk-in-vaccine-clinic,http://www.facebook.com/dukemedicine
https://www.dukehealth.org/spanish-covid-19-update/walk-in-vaccine-clinic,http://twitter.com/DukeHealth
https://www.dukehealth.org/spanish-covid-19-update/walk-in-vaccine-clinic,http://youtube.com/user/Dukemedicine
