Source,Target
https://uhnj.org/info/physicians.htm,https://www.linkedin.com/company/university-hospital
https://uhnj.org/info/physicians.htm,"https://www.glassdoor.com/Overview/Working-at-University-Hospital-Newark-EI_IE849763.11,37.htm"
https://uhnj.org/info/physicians.htm,https://www.instagram.com/university_hospital_newark/
https://uhnj.org/info/physicians.htm,http://www.youtube.com/channel/UCE45x6uisbu8skOPIp75J-A
https://uhnj.org/info/physicians.htm,http://cinj.org/universityhospital
https://uhnj.org/info/physicians.htm,https://www.youtube.com/watch?v=Tw-yRD1qtvs
https://uhnj.org/info/physicians.htm,https://www.uhnjfoundation.org/
https://uhnj.org/info/physicians.htm,https://uhnjcareers.com/
https://uhnj.org/info/physicians.htm,http://www.cdc.gov/media/releases/2016/p1013-contaminated-devices-.html
https://uhnj.org/info/physicians.htm,https://www.cdc.gov/zika/
https://uhnj.org/info/physicians.htm,https://www.cdc.gov/zika/
https://uhnj.org/info/physicians.htm,http://www.cdc.gov/media/releases/2016/p1013-contaminated-devices-.html
https://uhnj.org/info/physicians.htm,https://www.cdc.gov/zika/
https://uhnj.org/about/history.htm,https://www.facebook.com/pages/University-Hospital/375389272472784?ref=hl
https://uhnj.org/about/history.htm,https://twitter.com/UnivHospNewark
https://uhnj.org/about/history.htm,https://www.linkedin.com/company/university-hospital
https://uhnj.org/about/history.htm,"https://www.glassdoor.com/Overview/Working-at-University-Hospital-Newark-EI_IE849763.11,37.htm"
https://uhnj.org/about/history.htm,https://www.instagram.com/university_hospital_newark/
https://uhnj.org/about/history.htm,http://www.youtube.com/channel/UCE45x6uisbu8skOPIp75J-A
https://uhnj.org/about/history.htm,http://cinj.org/universityhospital
https://uhnj.org/about/history.htm,https://www.youtube.com/watch?v=Tw-yRD1qtvs
https://uhnj.org/about/history.htm,https://www.uhnjfoundation.org/
https://uhnj.org/about/history.htm,https://uhnjcareers.com/
https://uhnj.org/about/history.htm,http://www.cdc.gov/media/releases/2016/p1013-contaminated-devices-.html
https://uhnj.org/about/history.htm,https://www.cdc.gov/zika/
https://uhnj.org/about/history.htm,http://www.cdc.gov/media/releases/2016/p1013-contaminated-devices-.html
https://uhnj.org/about/history.htm,https://www.cdc.gov/zika/
https://uhnj.org/info/patients.htm,https://www.facebook.com/pages/University-Hospital/375389272472784?ref=hl
https://uhnj.org/info/patients.htm,https://twitter.com/UnivHospNewark
https://uhnj.org/info/patients.htm,https://www.linkedin.com/company/university-hospital
https://uhnj.org/info/patients.htm,"https://www.glassdoor.com/Overview/Working-at-University-Hospital-Newark-EI_IE849763.11,37.htm"
https://uhnj.org/info/patients.htm,https://www.instagram.com/university_hospital_newark/
https://uhnj.org/info/patients.htm,http://www.youtube.com/channel/UCE45x6uisbu8skOPIp75J-A
https://uhnj.org/info/patients.htm,http://cinj.org/universityhospital
https://uhnj.org/info/patients.htm,https://www.youtube.com/watch?v=Tw-yRD1qtvs
https://uhnj.org/info/patients.htm,https://www.uhnjfoundation.org/
https://uhnj.org/info/patients.htm,https://uhnjcareers.com/
https://uhnj.org/info/patients.htm,http://www.cdc.gov/media/releases/2016/p1013-contaminated-devices-.html
https://uhnj.org/info/patients.htm,https://www.cdc.gov/zika/
https://uhnj.org/info/patients.htm,http://www.cdc.gov/media/releases/2016/p1013-contaminated-devices-.html
https://uhnj.org/info/patients.htm,http://www.cdc.gov/media/releases/2016/p1013-contaminated-devices-.html
https://uhnj.org/info/patients.htm,https://www.cdc.gov/zika/
https://uhnj.org/visitation/index.htm?ref=hl,https://www.facebook.com/pages/University-Hospital/375389272472784?ref=hl
https://uhnj.org/visitation/index.htm?ref=hl,https://twitter.com/UnivHospNewark
https://uhnj.org/visitation/index.htm?ref=hl,https://www.linkedin.com/company/university-hospital
https://uhnj.org/visitation/index.htm?ref=hl,"https://www.glassdoor.com/Overview/Working-at-University-Hospital-Newark-EI_IE849763.11,37.htm"
https://uhnj.org/visitation/index.htm?ref=hl,https://www.instagram.com/university_hospital_newark/
https://uhnj.org/visitation/index.htm?ref=hl,http://www.youtube.com/channel/UCE45x6uisbu8skOPIp75J-A
https://uhnj.org/visitation/index.htm?ref=hl,http://cinj.org/universityhospital
https://uhnj.org/visitation/index.htm?ref=hl,https://www.youtube.com/watch?v=Tw-yRD1qtvs
https://uhnj.org/visitation/index.htm?ref=hl,https://www.uhnjfoundation.org/
https://uhnj.org/visitation/index.htm?ref=hl,https://uhnjcareers.com/
https://uhnj.org/visitation/index.htm?ref=hl,http://www.cdc.gov/media/releases/2016/p1013-contaminated-devices-.html
https://uhnj.org/visitation/index.htm?ref=hl,https://www.cdc.gov/zika/
https://uhnj.org/Bulletin/topdocs/index.htm,https://www.facebook.com/pages/University-Hospital/375389272472784?ref=hl
https://uhnj.org/Bulletin/topdocs/index.htm,https://twitter.com/UnivHospNewark
https://uhnj.org/Bulletin/topdocs/index.htm,https://www.linkedin.com/company/university-hospital
https://uhnj.org/Bulletin/topdocs/index.htm,"https://www.glassdoor.com/Overview/Working-at-University-Hospital-Newark-EI_IE849763.11,37.htm"
https://uhnj.org/Bulletin/topdocs/index.htm,https://www.instagram.com/university_hospital_newark/
https://uhnj.org/Bulletin/topdocs/index.htm,http://www.youtube.com/channel/UCE45x6uisbu8skOPIp75J-A
https://uhnj.org/Bulletin/topdocs/index.htm,http://cinj.org/universityhospital
https://uhnj.org/Bulletin/topdocs/index.htm,https://www.youtube.com/watch?v=Tw-yRD1qtvs
https://uhnj.org/Bulletin/topdocs/index.htm,https://www.uhnjfoundation.org/
https://uhnj.org/Bulletin/topdocs/index.htm,https://uhnjcareers.com/
https://uhnj.org/Bulletin/topdocs/index.htm,http://www.cdc.gov/media/releases/2016/p1013-contaminated-devices-.html
