Node	Betweenness	Eigenvector	Closeness	Eccentricity	PageRank
https://health.universityofcalifornia.edu/	25447.86589038737	0.10353412314052444	0.5406403940886699	3	0.008080104897873091
https://health.universityofcalifornia.edu/themes/uch_theme/public/js/components/carousel.js?r6p2hh	0.0	0.0016759145102457785	0.35308310991957104	4	0.00018126730656133208
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucr-health	8124.479255322856	0.10388141849737728	0.5379901960784313	3	0.006457003172425393
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-davis-health	15738.97925532285	0.10400294012322542	0.5401968826907301	3	0.007365864031060581
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uc-san-diego-health	13289.55313579402	0.10399969419969811	0.5397540983606557	3	0.007120614039709366
https://health.universityofcalifornia.edu/patient-care/cardiac-surgery-consortium	40086.743354770544	0.10361184237709746	0.5437654830718415	3	0.009616972503784961
https://health.universityofcalifornia.edu/patient-care/milk-bank	6249.479255322745	0.10378693796775447	0.5371125611745514	3	0.00620463050882094
https://health.universityofcalifornia.edu/themes/uch_theme/public/js/components/header-menu-block.js?r6p2hh	1624.2157678659673	0.08476784202519028	0.5299798792756539	3	0.004957814677624586
https://health.universityofcalifornia.edu/news/university-california-health-supports-cdc-recommendation-covid-19-vaccine-children	6630.375955599796	0.05519485723679726	0.44933469805527126	3	0.003022989940838726
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/uci-health	9643.996542323197	0.10397620463389766	0.5388707037643208	3	0.006684207232989517
https://health.universityofcalifornia.edu/contact-us	21091.962163111988	0.10272192287428848	0.5399753997539976	3	0.007649602079396628
https://health.universityofcalifornia.edu/sites/default/files/styles/868x488_16_9_/public/2021-06/ucsd_surge_tent_750.jpg?h=9e499333&itok=t-oZ21rk	0.0	0.0008376629630937966	0.35101279317697226	4	0.00014815532057750648
https://health.universityofcalifornia.edu/sites/default/files/google_tag/google_tag_manager/google_tag.script.js?r6p2hh	1624.2157678659673	0.08476784202519028	0.5299798792756539	3	0.004957814677624586
https://health.universityofcalifornia.edu/dashboards/uch-chart-outpatient-visits	1390.7249321500758	0.05519001602339282	0.44674355495251017	3	0.002519465279613434
https://health.universityofcalifornia.edu/research	7977.479255322874	0.103834095853382	0.5377705185790118	3	0.006411683005820266
https://health.universityofcalifornia.edu/news/university-california-health-signs-health-equity-pledge-leverage-data-addressing-disparities	12364.949674703219	0.05613868384020763	0.45102739726027397	3	0.0036940334995876596
https://health.universityofcalifornia.edu/patient-care	18662.47925532271	0.1038611349242414	0.5393120393120393	3	0.007409424329496754
https://health.universityofcalifornia.edu/news/new-study-shows-uc-system-mitigation-efforts-reduced-campus-covid-19-infection-rates-0	14663.236206199452	0.056128729356893184	0.45304437564499483	3	0.003978039135682534
https://health.universityofcalifornia.edu/news	24187.96398675371	0.10360682913797846	0.5408624229979466	3	0.007828863064133459
https://health.universityofcalifornia.edu/core/misc/drupal.js?v=8.9.19	1624.2157678659673	0.08476784202519028	0.5299798792756539	3	0.004957814677624586
https://health.universityofcalifornia.edu/themes/uch_theme/public/js/components/alerts.js?r6p2hh	1624.2157678659673	0.08476784202519028	0.5299798792756539	3	0.004957814677624586
https://health.universityofcalifornia.edu/education/dentistry	21801.593144211696	0.10395582046213084	0.5401968826907301	3	0.007772981667377116
https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucsf-health	16628.6204668072	0.10402358381531875	0.5404185473943373	3	0.007451610392691821
https://health.universityofcalifornia.edu/education/public-health	27054.09132348337	0.10397646026258293	0.5410846343467544	3	0.008271395549231161
https://health.universityofcalifornia.edu/about-us/administration-leadership	94907.0653141945	0.10350751813266408	0.552896725440806	3	0.01613449792251821
https://health.universityofcalifornia.edu/education/medicine	54704.62739552619	0.10422834068497971	0.5469269102990033	3	0.011266113416136267
https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-04/UC-Davis-Health-Pediatrics-1.JPG?h=f7a79ff7&itok=Su58dHBU	0.0	0.0008376629630937966	0.35101279317697226	4	0.00014815532057750648
https://health.universityofcalifornia.edu/about-us	4935.479255322746	0.10378019709423396	0.5368935996738687	3	0.006083255939000219
https://health.universityofcalifornia.edu/research/clinical-trials	8044.543772718363	0.10340615250351294	0.5375510204081633	3	0.006376504582717444
https://health.universityofcalifornia.edu/news/system	5075.479914947015	0.062305535179706856	0.4740820734341253	3	0.00353229954721524
https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-06/UCLA_Mattel_Childrens_Hospital_with_Superhero_Window_Cleaners%20%28002%29.jpg?h=252f27fa&itok=NEzoFu_L	0.0	0.0008376629630937966	0.35101279317697226	4	0.00014815532057750648
https://health.universityofcalifornia.edu/themes/uch_theme/public/js/components/search-overlay-block.js?r6p2hh	1624.2157678659673	0.08476784202519028	0.5299798792756539	3	0.004957814677624586
https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-06/UCI-trainees-20-health-prof-schools.jpg?h=2992ba0a&itok=n8DcUryz	0.0	0.0008376629630937966	0.35101279317697226	4	0.00014815532057750648
https://health.universityofcalifornia.edu/core/assets/vendor/picturefill/picturefill.min.js?v=3.0.3	887.0913159260479	0.06031801148557693	0.46145760336370006	4	0.0034857737482669
https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-04/UniversityCalHealthPediatrics.jpg?h=10d202d3&itok=9ds0LmcB	0.0	0.0016779721199264	0.3524217286593524	4	0.00018062566815649764
